date,start,end,hours,phase,hat,task,estimate_hours,blocked_hours,notes
2026-08-24,10:19,11:01,0.7,inception,project-manager,read chapter 1 of textbook,1.0,0,
2026-08-24,11:01,12:39,1.52,inception,project-manager,set up repo according to Appendix A,1.0,0,spent more time looking at liscensing and IP than expected
2026-08-24,7:03,7:46,0.72,inception,project-manager,create board and add 6 new cards,1.0,1.0,learned tool more quickly than I expected
2026-08-24,7:46,8:00,0.23,inception,project-manager,began working through charter,2.0,2.0,had to break for other responsiblities - will come back to complete
2026-08-27,10:03,11:08,1.08,inception,project-manager,choosing blocked time on calendar for project/continued work on charter,1.0,1.0,
2026-08-30,7:00,10:15,3.25,inception,project-manager,finishing charter and ai usage policy,2.0,2.0,spent more time thinking through risks than I thought I would
2026-09-01,4:00,4:55,0.91,inception,product-owner,read ch 2 of textbook,1.0,1.0,
2026-09-01,4:55,5:13,0.3,inception,product-owner,read through milestone and set up project board for week 2,0.5,0.5,
2026-09-01,5:13,5:35,0.36,inception,product-owner,record three potential project ideas,0.5,0.5,previous though/work on potential ideas made me get through this step more quickly
2026-09-04,8:53,9:36,0.71,inception,product-owner,create five interview questions,1.0,1.0,template helped me come up more quickly with questions than I thought
2026-09-04,10:00,10:35,0.58,inception,product-owner,conduct interview,0.5,0.5,
2026-09-05,3:36,5:32,1.93,inception,product-owner,begin work on filling out candidate docs,2.0,2.0,
2026-09-06,7:43,11:44,3.01,inception,product-owner,work on candidate docs, scoping memo, dependencies,4.0,4.0,got sick over the weekend and pushed back work on the project while I recovered
